Product Name,Price
Bundle: Charcoal Monthly Bundle + Lip Balm,"Rs.5,014.00"
De-Tan + Charcoal Face Wash Bundle,"Rs.1,349.00"
Ice Blast Face Wash,Rs.799.00
Bundle: Lip Lightener Balm + Under Eye Balm,"Rs.1,849.00"
De-Tan Bundle,"Rs.2,349.00"
Ice Blast Bundle,"Rs.1,399.00"
Charcoal Facewash + Charcoal Face Mask + Charcoal Scrub,"Rs.2,149.00"
Charcoal Facewash + Charcoal Scrub,"Rs.1,398.00"
Bundle: Lip Balm + Under Eye Balm,"Rs.1,349.00"
Charcoal Facewash + Charcoal Body Wash,"Rs.1,198.00"
Charcoal Powder + Bamboo Toothbrush,"Rs.1,049.00"
Charcoal Face Wash,Rs.699.00
Lip Lightener Balm,Rs.999.00
De-Tan Face Wash,Rs.799.00
Lip Balm,Rs.499.00
Under Eye Balm,Rs.999.00
Charcoal Face Scrub,Rs.799.00
Charcoal Detox Soap Bar,Rs.399.00
